baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl,sig
997.439773207048,4.57491904614571,0.18405629014442026,24.8560863774663,2.22231970363104e-136,4.006397961706039e-132,ENSG00000152583,TRUE
495.09290669854613,3.2910619105414183,0.13317371150065987,24.71254929712694,7.839757071552557e-135,7.066757024297475e-131,ENSG00000165995,TRUE
3409.0293753095643,2.9478100345455798,0.12143771898739322,24.274253989006496,3.667319929707562e-130,2.2038147897589308e-126,ENSG00000120129,TRUE
12703.387062182112,3.7669957422607356,0.15543796182202882,24.23472167354985,9.582337859728171e-130,4.3187596733794865e-126,ENSG00000101347,TRUE
2341.7672527559093,3.3535801702967034,0.14178245425994135,23.652998446114573,1.0993707187162016e-123,3.963891063403136e-120,ENSG00000189221,TRUE
12285.615149869102,3.7304030380164885,0.1658305878839362,22.4952651113278,4.618137703547896e-112,1.387596441992691e-108,ENSG00000211445,TRUE
3009.263222957941,1.976772611634091,0.08998229961217762,21.968460687868077,5.769075565747188e-107,1.485784204275576e-103,ENSG00000157214,TRUE
5393.101683492233,2.0356650249430976,0.09418229665552251,21.61409412629495,1.3237464695180058e-103,2.983062669058826e-100,ENSG00000162614,TRUE
3656.252782246999,2.2109786821907544,0.10564077112676662,20.92921756068619,2.902210279470793e-97,5.813449657588829e-94,ENSG00000125148,TRUE
30315.135471107835,2.3456038806465296,0.11580804621277486,20.254239298165317,3.2594558493179815e-91,5.876147005150457e-88,ENSG00000154734,TRUE
1223.4661408110164,2.228903105485951,0.11283943455510777,19.752873756181526,7.578044680153864e-87,1.2419726317619442e-83,ENSG00000139132,TRUE
1099.6258659463606,1.891217104076419,0.09577960810136316,19.7455088986682,8.767714955132904e-87,1.3172030434261331e-83,ENSG00000162493,TRUE
5510.958255979163,2.195711787423143,0.11200765546265298,19.603229603848508,1.4511498817036075e-85,2.012410005180972e-82,ENSG00000134243,TRUE
776.596665468835,3.191750142997489,0.16396298485263597,19.466284697525598,2.1210913384382156e-84,2.7313596178117253e-81,ENSG00000179094,TRUE
508.1702324397553,-3.6926601761453743,0.1901856271694186,-19.416084333522896,5.643215113820061e-84,6.782392138129871e-81,ENSG00000162692,TRUE
561.1071661290711,4.459128611552439,0.23486375039699922,18.986023190104913,2.2255843960701857e-80,2.5076772182720816e-77,ENSG00000163884,TRUE
2649.850148958817,-2.528174368655435,0.1344301160413057,-18.806607054319695,6.667071203006981e-79,7.070232920459403e-76,ENSG00000178695,TRUE
2057.1917305934803,2.9184360089650134,0.16129637143992118,18.093624691687854,3.577634992118217e-73,3.583200202105956e-70,ENSG00000198624,TRUE
25136.307571908896,-1.9116696841236225,0.10574808562058713,-18.07758195247609,4.7861497825424017e-73,4.541300435772338e-70,ENSG00000107562,TRUE
1365.1739859070242,-1.8145430408863656,0.10048368949516932,-18.058085347011453,6.814551658423206e-73,6.142636864902678e-70,ENSG00000148848,TRUE
313.6899778001127,-2.756242581518897,0.15488833447802636,-17.7950301474119,7.722581383737271e-71,6.62965224695312e-68,ENSG00000146250,TRUE
884.7458829930462,-1.7562563496565247,0.09970928118294921,-17.61377004046493,1.9314168824917494e-69,1.582708343525512e-66,ENSG00000106976,TRUE
670.0467035304332,1.898530034171991,0.10868102316391552,17.468827389567167,2.4752991049053847e-68,1.9402040114449687e-65,ENSG00000154930,TRUE
1216.602064987596,-2.1885040146056083,0.12542684583539235,-17.448449732027516,3.537028816245279e-68,2.656898145802912e-65,ENSG00000163394,TRUE
